,wikidata,country,bathwateridentifier,status,eionet
782,Q107111151,it,IT019081009012,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.IT019081009012
783,Q107111183,it,IT019081009013,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.IT019081009013
784,Q107111222,it,IT019081009014,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.IT019081009014
785,Q107111263,it,IT019081009015,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.IT019081009015
786,Q107111328,it,IT019081009016,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.IT019081009016
787,Q107111394,it,IT019081011002,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.IT019081011002
788,Q107111448,it,IT019081011004,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.IT019081011004
789,Q107111458,it,IT019081011005,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.IT019081011005
790,Q107111694,nl,NLBW44_20-701,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.NLBW44_20-701
791,Q107111706,nl,NLBW95_WIJKAZBSD,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.NLBW95_WIJKAZBSD
792,Q107111716,nl,NLBW95_TERHDBSD,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.NLBW95_TERHDBSD
793,Q107111723,nl,NLBW95_SCHEVNGBSD,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.NLBW95_SCHEVNGBSD
794,Q107111731,nl,NLBW95_ROCKJBSD,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.NLBW95_ROCKJBSD
795,Q107111741,nl,NLBW27_245695,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.NLBW27_245695
796,Q107111775,nl,NLBW13_ROP40120,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.NLBW13_ROP40120
797,Q107111786,nl,NLBW11_HBP012,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.NLBW11_HBP012
798,Q107111798,nl,NLBW12_534028,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.NLBW12_534028
799,Q107111811,nl,NLBW13_RO749,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.NLBW13_RO749
800,Q106708776,se,SE0220486000001907,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0220486000001907
801,Q106708785,se,SE0230512000001917,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230512000001917
802,Q106708786,se,SE0230512000001918,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230512000001918
803,Q106708787,se,SE0230512000001919,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230512000001919
804,Q106708789,se,SE0A21493000001925,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21493000001925
805,Q106708783,se,SE0230512000001915,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230512000001915
806,Q106708788,se,SE0230512000001920,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230512000001920
807,Q106708790,se,SE0930821000001933,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930821000001933
808,Q106708784,se,SE0230512000001916,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230512000001916
809,Q106708793,se,SE0930821000001936,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930821000001936
810,Q106708791,se,SE0930821000001934,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930821000001934
811,Q106708794,se,SE0930821000001937,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930821000001937
812,Q106708792,se,SE0930821000001935,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930821000001935
813,Q106708801,se,SE0930821000001939,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930821000001939
814,Q106708802,se,SE0930821000001940,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930821000001940
815,Q106708803,se,SE0930834000001941,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930834000001941
816,Q106708804,se,SE0930834000001944,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930834000001944
817,Q106708805,se,SE0930834000001945,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930834000001945
818,Q106708807,se,SE0930882000001948,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001948
